No	Ref	V	B-V	U-B	N
0325	1367	14.17	+0.63	+0.08	2
0333	1367	13.42	+0.57	+0.05	1
0598	59	14.91	+0.78	+0.26	1
0602	59	14.76	+0.48	-0.02	1
0659	59	14.83	+0.69	+0.16	1
0663	59	14.89	+0.725	+0.215	2
0682	59	15.23	+0.84	+0.30	1
1004	59	15.71	+0.93	+0.58	2
1013	59	15.20	+0.79	+0.27	2
1016	59	16.38	+1.00	+0.70	2
1018	59	15.08	+0.92	+0.54	2
1019	59	14.55	+0.70	+0.22	2
1021	59	15.87	+0.78	+0.29	2
1022	1367	15.37	+0.92	+0.37	2
1023	59	16.19	+0.80	+0.30	2
1026	59	14.96	+0.76	+0.33	4
1028	59	16.64	+1.00	+0.70	1
1035	59	16.25	+1.09	+0.92	1
1042	59	14.60	+0.72	+0.18	1
1043	59	16.33	+1.19	+0.70	1
1046	59	14.41	+0.74	+0.17	1
1046	1367	14.47	+0.81	+0.17	2
1047	1367	14.63	+0.82	+0.49	2
1054	1367	14.11	+0.67	+0.13	1
1058	1367	14.69	+0.78	+0.24	1
1061	59	14.54	+0.73	+0.16	1
1061	1367	14.46	+0.73	+0.19	1
1063	59	15.70	+0.82	+0.63	1
1064	59	16.43	+1.35		1
1065	59	14.55	+0.57	-0.06	1
1078	1367	15.38	+0.83	+0.58	3
1081	1367	14.64	+0.84	+0.43	2
1151	1367	14.54	+0.68	+0.18	1
1155	1367	14.44	+0.65	+0.10	2
1157	1367	14.53	+0.72	+0.17	2
1160	59	14.46	+0.67	+0.10	1
1161	1367	14.72	+0.75	+0.23	1
1170	1367	14.90	+0.80	+0.32	1
1172	1367	14.59	+0.65	+0.18	3
1173	1367	15.15	+0.88	+0.31	1
1176	1367	14.05	+0.66	+0.23	1
2001	59	13.83	+0.635	+0.12	2
2047	1367	15.58	+0.92	+0.52	1
2048	1367	14.39	+0.68	+0.11	2
2054	59	12.91	+0.48	-0.05	1
2057	59	12.94	+0.99	+0.68	1
2071	1367	14.94	+0.74	+0.30	2
2074	1367	14.83	+0.78	+0.38	1
2099	1367	14.15	+0.69	+0.29	1
2111	1367	14.50	+0.63	+0.11	1
2113	1367	14.15	+0.61	+0.15	1
2121	1367	13.74	+0.60	+0.02	2
2132	1367	14.94	+0.79	+0.26	2
2134	1367	14.56	+0.92	+0.47	2
2141	1367	14.25	+0.62	+0.09	1
2152	318	10.92	+1.11	+1.15	2
2152	2004	10.91	+1.13	+1.15	2
3035	59	12.16	+1.02	+0.81	2
3035	100	12.14	+1.01	+0.78	3
3035	591	12.11	+0.92	+0.75	1
3035	700	12.17	+1.007		1
3035	1367	12.14	+1.04	+0.81	3
3035	2004	12.12	+1.00	+0.78	2
3053	100	12.51	+0.67	+0.18	2
3058	1367	14.37	+0.68	+0.12	3
3061	1367	15.36	+0.86	+0.27	1
3072	1367	14.50	+0.77	+0.49	1
3077	1367	14.00	+0.56	+0.06	1
3137	1367	14.34	+0.61	+0.19	1
3145	1367	14.20	+0.72	+0.28	2
3150	1367	14.48	+0.64	+0.19	2
4004	59	12.72	+0.58	+0.01	3
4006	59	13.30	+0.47	-0.015	2
4018	59	13.07	+0.855	+0.47	2
4018	695	13.02	+0.87	+0.51	1
4026	59	13.34	+0.57	+0.06	2
4044	1367	14.26	+0.63	+0.05	2
4049	1367	15.05	+0.76	+0.30	2
4058	1367	14.81	+0.76	+0.20	1
4063	1367	14.64	+0.70	+0.23	1
4070	1367	14.43	+0.73	+0.28	1
4078	1367	14.75	+0.80	+0.24	1
4088	1367	14.88	+0.77	+0.29	2
4090	1367	14.49	+0.67	+0.13	2
4091	1367	14.59	+0.66	+0.16	2
4093	1367	15.28	+0.77	+0.29	3
4094	1367	14.26	+0.61	+0.05	2
4097	1367	14.13	+0.60	+0.09	1
4099	1367	14.78	+0.72	+0.19	2
4143	1367	14.37	+0.59	+0.12	2
4146	1367	14.58	+0.63	+0.15	2
4169	318	9.97	+1.06	+0.91	2
4169	1367	9.97	+1.09	+0.95	1
4169	1387	9.98	+1.06	+0.94	3
4169	2004	9.95	+1.09	+0.92	3
4178	1367	14.43	+0.77	+0.38	2
4179	1367	15.20	+0.66	+0.07	2
4183	1367	14.91	+0.73	+0.29	2
4189	1367	15.36	+0.79	+0.60	3
4190	1367	14.76	+0.80	+0.20	2
4192	1367	15.03	+0.72	+0.40	1
4198	1367	14.52	+0.68	+0.15	2
4202	318	8.87	+1.55	+1.96	3
4202	1367	8.87	+1.54	+1.96	5
4202	1387	8.81	+1.58	+1.93	3
4202	2004	8.85	+1.58	+1.98	3
5039	1367	14.44	+0.65	+0.10	2
5183	1367	13.41	+0.56	+0.05	1
5217	1367	15.03	+0.84	+0.34	2
5258	1387	9.50	+1.36	+1.51	3
5279	1367	14.97	+0.81	+0.39	1
5713	1367	15.78	+0.63	+0.12	2
5780	1367	15.05	+0.74	+0.24	2
5808	1367	13.63	+0.99	+0.59	2
5850	1367	12.72	+0.57	+0.08	1
5908	1367	14.68	+0.67	+0.16	1
6135	1387	9.36	+1.47	+1.72	3
6321	1367	15.40	+0.85	+0.36	1
6461	1367	15.84	+0.65	+0.15	2
6469	318	9.51	+1.34	+1.57	1
6470	318	9.82	+1.31	+1.48	2
6470	1367	9.93	+1.30	+1.48	4
6470	2004	9.79	+1.35	+1.46	1
6474	318	10.52	+1.19	+1.30	1
6474	1367	10.54	+1.22	+1.30	2
6474	2004	10.51	+1.18	+1.35	3
6495	318	9.37	+1.48	+1.77	1
6513	318	10.00	+1.19	+1.24	1
6513	1367	10.14	+1.27	+1.20	2
6513	2004	10.02	+1.20	+1.21	1
6514	318	8.76	+1.62	+2.04	2
6514	1367	8.80	+1.65	+1.94	1
6514	2004	8.83	+1.64	+1.95	4
6515	318	10.10	+1.26	+1.46	2
6515	1367	10.19	+1.29	+1.42	1
6515	2004	10.08	+1.32	+1.45	3
7008	1367	14.87	+0.71	+0.16	4
7015	1367	13.15	+0.61	+0.11	3
7044	1367	14.97	+0.76	+0.34	3
7051	1367	14.52	+0.83	+0.52	2
7060	1367	15.66	+0.64	+0.00	3
7061	1367	14.85	+0.64	+0.03	2
7063	1367	15.82	+0.78	+0.36	3
7080	1367	12.75	+0.53	+0.01	3
7103	1367	15.69	+0.67	+0.06	3
7110	1367	14.75	+0.72	+0.22	2
7135	1367	13.78	+0.60	+0.01	2
7144	1367	14.17	+0.88	+0.45	2
7145	1367	12.90	+0.44	-0.01	2
7151	1367	14.79	+0.82	+0.42	2
7157	1367	13.72	+0.59	+0.07	2
7215	1367	14.38	+0.66	+0.02	2
7218	1367	13.27	+0.73	+0.35	2
7225	1367	14.43	+0.49	-0.01	2
7243	1367	15.50	+0.89	+0.46	3
7251	1367	12.57	+0.67	+0.15	2
7252	1367	14.39	+0.63	+0.16	2
7255	1367	14.80	+0.64	+0.19	2
7272	1367	14.82	+0.99	+0.77	2
7277	1367	12.28	+0.52	+0.07	4
7277	2004	12.15	+0.53	+0.10	3
7281	1367	13.26	+0.65	+0.12	5
7299	1367	16.27	+0.70	+0.14	2
7341	1367	13.20	+0.59	+0.07	2
7343	1367	13.53	+0.53	+0.06	2
7362	1367	15.82	+0.98	+0.98	2
7368	1367	12.72	+0.57	+0.08	2
7395	1367	13.36	+0.57	+0.07	2
7396	1367	14.46	+0.70	+0.13	2
7434	1367	12.54	+0.63	+0.16	5
7445	1367	12.74	+0.56	+0.08	2
7465	1367	14.19	+0.60	+0.07	4
7469	1367	14.56	+0.62	+0.25	1
7471	1367	13.58	+0.60	+0.12	2
7473	1367	14.22	+0.64	+0.10	2
7489	1367	12.88	+0.53	+0.07	3
7499	1367	13.51	+0.55	+0.09	4
7505	1367	13.99	+0.61	+0.14	1
7513	1367	15.46	+0.63	+0.19	1
7520	1367	14.17	+0.63	+0.06	1
7530	1367	14.21	+0.95	+0.75	1
7622	1367	14.48	+0.66	+0.13	2
7625	1367	14.65	+0.83	+0.44	2
7626	1367	15.30	+0.84	+0.37	2
7640	1367	15.05	+0.72	+0.38	3
7646	1367	15.38	+0.47	-0.02	2
7647	1367	13.84	+0.58	+0.06	1
7648	1367	13.35	+0.57	+0.03	1
7650	1367	13.88	+0.61	+0.06	2
7655	1367	13.65	+0.58	+0.02	1
7656	1367	13.15	+0.57	+0.07	1
7657	1367	12.60	+0.61	+0.11	1
7666	1367	14.19	+0.62	+0.12	2
7674	1367	12.69	+0.54	+0.03	1
7704	1367	13.54	+0.56	+0.06	1
7711	1367	13.37	+0.58	+0.02	1
7769	1367	13.43	+0.76	+0.09	1
7844	1367	13.64	+0.54	+0.03	1
7848	1367	13.96	+0.62	+0.06	3
7853	1367	13.29	+0.59	+0.10	1
7856	1367	13.34	+0.50	+0.02	1
7859	1367	12.67	+0.66	+0.19	1
7868	1367	13.63	+0.54	+0.04	1
7871	1367	12.62	+0.60	+0.12	1
7875	1367	16.02	+0.73	-0.12	3
7882	1367	14.71	+0.80	-0.07	1
7903	1367	13.16	+0.55	+0.05	1
7905	1367	13.28	+0.55	+0.00	1
7911	1367	14.05	+0.83	+0.39	3
7912	1367	13.25	+0.55	+0.08	1
7913	1367	13.86	+0.56	+0.05	1
7914	1367	13.16	+0.57	+0.08	1
7926	1367	12.71	+0.55	+0.06	1
7927	1367	13.31	+0.54	+0.03	1
7928	1367	14.79	+0.65	+0.30	2
8130	1367	14.38	+0.66	+0.16	1
8155	1367	14.62	+0.64	+0.18	1
8165	1367	12.80	+0.51	+0.03	1
8168	1367	13.11	+0.56	+0.05	1
8172	1367	14.63	+0.65	+0.25	1
8176	1367	15.66	+0.85	+0.34	1
8181	1367	13.19	+0.57	+0.08	1
